variable,label,col_start,col_end,type,Topic B Possible Fields,Topic C Possible Fields
CRVCLHPV,Have an H.P.V. test and recent cervical cancer screening,226,226,num,,
HADHYST2,Had Hysterectomy,227,227,num,,
HADSIGM4,Ever Had Sigmoidoscopy/Colonoscopy,228,228,num,,
COLNSIGM,"Ever had a colonoscopy, sigmoidoscopy, or both",229,229,num,,
COLNTES1,How long since you had colonoscopy,230,230,num,,
SIGMTES1,How long since you had sigmoidoscopy,231,231,num,,
LASTSIG4,Time Since Last Sigmoidoscopy/Colonoscopy,232,232,num,,
COLNCNCR,Ever had any other kind of test for colorectal cancer,233,233,num,,
VIRCOLO1,Ever had a virtual colonoscopy,234,234,num,,
VCLNTES2,How long since you had  virtual colonoscopy,235,235,num,,
SMALSTOL,Ever had stool test?,236,236,num,,
STOLTEST,How long since you had stool test?,237,237,num,,
STOOLDN2,Ever had stool DNA test?,238,238,num,,
BLDSTFIT,Was test part of Cologuard test?,239,239,num,,
SDNATES1,How long since you had stool DNA,240,240,num,,
SMOKE100,Smoked at Least 100 Cigarettes,241,241,num,,
SMOKDAY2,Frequency of Days Now Smoking,242,242,num,,
USENOW3,Use of Smokeless Tobacco Products,243,243,num,,
ECIGNOW3,"Do you now use e-cigarettes, or vaping products every day, some days, or not at all?",244,244,num,,
LCSFIRST,How old when you first started smoking?,245,247,num,,
LCSNUMCG,"On average, how many cigarettes do you smoke each day?",251,253,num,,
LCSCTSC1,Did you have a CT or CAT scan?,254,254,num,,
LCSSCNCR,Were any CT or CAT scans done to check for lung cancer?,255,255,num,,
LCSCTWHN,When did you have your most recent CT or CAT scan?,256,256,num,,
ALCDAY4,Days in past 30 had alcoholic beverage,257,259,num,,
AVEDRNK4,Avg alcoholic drinks per day in past 30,260,261,num,,
DRNK3GE5,Binge Drinking,262,263,num,,
MAXDRNKS,Most drinks on single occasion past 30 days,264,265,num,,
FLUSHOT7,Adult flu shot/spray past 12 mos,266,266,num,,
FLSHTMY3,When did you receive your most recent seasonal flu shot/spray?,267,272,num,,
IMFVPLA5,Where did you get your last flu shot/vaccine?,273,274,num,,
PNEUVAC4,Pneumonia shot ever,275,275,num,,
HIVTST7,Ever tested H.I.V.,276,276,num,,
HIVTSTD3,Month and Year of Last HIV Test,277,282,num,,
HIVRISK5,Do Any High Risk Situations Apply,283,283,num,,
PDIABTS1,When was your last blood test for high blood sugar?,284,284,num,,
PREDIAB2,Ever been told by a doctor or other health professional that you have pre-diabetes or borderline diabetes?,285,285,num,,
DIABTYPE,What type of diabetes do you have?,286,286,num,,
INSULIN1,Now Taking Insulin,287,287,num,,
CHKHEMO3,Times Checked for Glycosylated Hemoglobin,288,289,num,,
EYEEXAM1,Last Eye Exam Where Pupils Were Dilated,290,290,num,,
DIABEYE1,When was the last time a they took a photo of the back of your eye?,291,291,num,,
DIABEDU1,When was the last time you took a course or class in how to manage your diabetes?,292,292,num,,
FEETSORE,Ever Had Feet Sores or Irritations Lasting More Than Four Weeks,293,293,num,,
ARTHEXER,Dr. Suggest Use of Physical Activity or Exercise for Arthritis or Joint Symptoms,294,294,num,,
SHINGLE2,Have you ever had the shingles or zoster vaccine?,295,295,num,,
HPVADVC4,Have you ever had an H.P.V. vaccination?,296,296,num,,
HPVADSH1,How many HPV shots did you receive?,297,297,num,,
TETANUS1,Received Tetanus Shot Since 2005?,298,298,num,,
CNCRDIFF,How Many Types of Cancer?,299,299,num,,
CNCRAGE,Age Told Had Cancer,300,301,num,,
CNCRTYP2,Type of Cancer,302,303,num,,
CSRVTRT3,Currently Receiving Treatment for Cancer,304,304,num,,
CSRVDOC1,What Type of Doctor Provides Majority of Your Care,305,306,num,,
CSRVSUM,Did You Receive a Summary of Cancer Treatments Received,307,307,num,,
CSRVRTRN,Ever Receive Instructions From A Doctor For Follow-Up Check-Ups,308,308,num,,
CSRVINST,Instructions Written or Printed,309,309,num,,
CSRVINSR,Did Health Insurance Pay For All Of Your Cancer Treatment,310,310,num,,
CSRVDEIN,Ever Denied Insurance Coverage Because Of Your Cancer?,311,311,num,,
CSRVCLIN,Participate In Clinical Trial As Part Of Cancer Treatment?,312,312,num,,
CSRVPAIN,Currently Have Physical Pain From Cancer Or Treatment?,313,313,num,,
CSRVCTL2,Is Pain Under Control?,314,314,num,,
PSATEST1,Ever Had PSA Test,315,315,num,,
PSATIME1,Time Since Most Recent PSA Test,316,316,num,,
PCPSARS2,What was the MAIN reason you had this PSA test?,317,317,num,,
PSASUGS1,Who first suggested this P.S.A. test?,318,318,num,,
PCSTALK2,Did you talk about the advantages or disadvantages of P.S.A. test,319,319,num,,
CIMEMLO1,Have you experienced difficulties with thinking or memory that is happening more often or is getting worse?,320,320,num,,
CDWORRY,Are you worried about these difficulties with thinking or memory?,321,321,num,,
CDDISCU1,Have you discussed your difficulties with thinking with a health care provider?,322,322,num,,
CDHOUS1,Given up day-to-day chores due to difficulties with thinking or memory,323,323,num,,
CDSOCIA1,Does difficulties with thinking or memory interfere with work or social activities,324,324,num,,
CAREGIV1,Provided regular care for family or friend,325,325,num,,
CRGVREL5,Relationship Of Person To Whom You Are Giving Care?,326,327,num,,
CRGVPRB4,"What Is The Main Health Problem, Illness, Disability For Care For Person?",328,329,num,,
CRGVALZD,Does Person Being Cared For Have Alzheimerï¿½s Disease?,330,330,num,,
CRGVNURS,Help with Nursing or Medical Tasks,331,331,num,,
CRGVPER2,Managed personal care,332,332,num,,
CRGVHOU2,Managed household tasks,333,333,num,,
CRGVHRS2,How Many Hours Do You Provide Care For Person?,334,334,num,,
CRGVLNG2,How Long Provided Care For Person.,335,335,num,,
ACEDEPRS,"Live With Anyone Depressed, Mentally Ill, Or Suicidal?",336,336,num,,
ACEDRINK,Live With a Problem Drinker/Alcoholic?,337,337,num,,
ACEDRUGS,Live With Anyone Who Used Illegal Drugs or Abused Prescriptions?,338,338,num,,
ACEPRISN,Live With Anyone Who Served TIme in Prison or Jail?,339,339,num,,
ACEDIVRC,Were Your Parents Divorced/Seperated?,340,340,num,,
ACEPUNCH,How Often Did Your Parents Beat Each Other Up?,341,341,num,,
ACEHURT1,How Often Did A Parent Physically Hurt You In Any Way?,342,342,num,,
ACESWEAR,How Often Did A Parent Swear At You?,343,343,num,,
ACETOUCH,How Often Did Anyone Ever Touch You Sexually?,344,344,num,,
ACETTHEM,How Often Did Anyone Make You Touch Them Sexually?,345,345,num,,
ACEHVSEX,How Often Did Anyone Ever Force You to Have Sex?,346,346,num,,
ACEADSAF,Did an adult make you feel safe and protected,347,347,num,,
ACEADNED,Did an adult make sure basic needs were met,348,348,num,,
LSATISFY,Satisfaction with life,349,349,num,,
EMTSUPRT,How often get emotional support needed,350,350,num,,
SDLONELY,How often do you feel lonely?,351,351,num,,
SDHEMPLY,Have you lost employment or had hours reduced?,352,352,num,,
FOODSTMP,During the past 12 months have you received food stamps,353,353,num,,
SDHFOOD1,"How often did the food that you bought not last, and you didnï¿½t have money to get more?",354,354,num,,
SDHBILLS,Were you not able to pay your bills?,355,355,num,,
SDHUTILS,Were you not able to pay utility bills or threatened to lose service?,356,356,num,,
SDHTRNSP,"Has a lack of reliable transportation kept you from appointments, meetings, work, or getting things needed",357,357,num,,
HOWSAFE1,Neighborhood Safe From Crime,358,358,num,,
MARIJAN1,"During the past 30 days, on how many days did you use marijuana or hashish?",359,360,num,,
MARJSMOK,Did you smoke marijuana or cannabis?,361,361,num,,
MARJEAT,Did you eat marijuana or cannabis?,362,362,num,,
MARJVAPE,Did you vape marijuana or cannabis?,363,363,num,,
MARJDAB,Did you dab marijuana or cannabis?,364,364,num,,
MARJOTHR,Did you use marijuana or cannabis some other way?,365,365,num,,
LASTSMK2,Interval Since Last Smoked,367,368,num,,
STOPSMK2,Stopped Smoking in past 12 months,369,369,num,,
MENTCIGS,Do you usually smoke menthol cigarettes?,370,370,num,,
MENTECIG,Do you usually use menthol e-cigarettes?,371,371,num,,
HEATTBCO,Have you heard of heated tobacco products?,372,372,num,,
SSBSUGR2,How often did you drink regular soda or pop that contains sugar?,373,375,num,,
SSBFRUT3,How often did you drink sugar-sweetened drinks?,376,378,num,,
FIREARM5,Any Firearms in Home,379,379,num,,
GUNLOAD,Any Firearms Loaded,380,380,num,,
LOADULK2,Any Loaded Firearms Also Unlocked,381,381,num,,
RCSBORG1,Sex of child,588,588,num,,
RCSRLTN2,Relationship to child,622,622,num,,
CASTHDX2,Hlth pro ever said child has asthma,623,623,num,,
CASTHNO2,Child still have asthma?,624,624,num,,
SOMALE,Sexual orientation,626,626,num,,
SOFEMALE,Sexual orientation,627,627,num,,
HADSEX,Have you have sexual intercourse?,629,629,num,,
PFPPRVN4,Did you do anything to keep from getting pregnant?,630,630,num,,
TYPCNTR9,What did you do to keep you from getting pregnant?,631,632,num,,
NOBCUSE8,What was main reason for not doing anything to keep you from getting pregnant?,633,634,num,,
QSTVER,Questionnaire Version Identifier,646,647,num,,
QSTLANG,Language identifier,648,649,num,,
_METSTAT,Metropolitan Status,1402,1402,num,,
_URBSTAT,Urban/Rural Status,1403,1403,num,Demographics,Demographics
MSCODE,Metropolitan Status Code,1409,1409,num,,
_STSTR,Sample Design Stratification Variable,1410,1415,num,,
_STRWT,Stratum weight,1416,1425,num,,
_RAWRAKE,Raw weighting factor used in raking,1446,1455,num,,
_WT2RAKE,Design weight use in raking,1456,1465,num,,
_IMPRACE,Imputed race/ethnicity value,1471,1472,num,,
_CHISPNC,"Child Hispanic, Latino/a, or Spanish origin calculated variable",1482,1482,num,,
_CRACE1,Child Non-Hispanic Race including Multiracial,1539,1540,num,,
CAGEG,Four level child age,1567,1567,num,,
_CLLCPWT,Final child weight: Land-line and Cell-Phone data,1583,1592,num,,
_DUALUSE,Dual Phone Use Categories,1680,1680,num,,
_DUALCOR,Dual Phone Use Correction Factor,1681,1690,num,,
_LLCPWT2,Truncated design weight used in adult combined land line and cell phone raking,1691,1700,num,,
_LLCPWT,Final weight: Land-line and cell-phone data,1749,1758,num,,
_RFHLTH,Adults with good or better health,1897,1897,num,,
_PHYS14D,Computed Physical Health Status,1898,1898,num,,
